Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: mlj0019stt02.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 2. Percent of deaths of local jail inmates, by cause of death, 2000–2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000–2019 – Statistical Tables   NCJ 301368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 2. Percent of deaths of local jail inmates, by cause of death, 2000–2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cause of death,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008/a,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
,All causes,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%
Illness,,57.1,%,51.5,%,52.3,%,51.1,%,51.8,%,47.9,%,55.2,%,55.3,%,46.3,%,51,%,52,%,47.9,%,55,%,48.8,%,47.7,%,47.3,%,49.9,%,47.3,%,45.8,%,46.1,%
,Heart disease,21.9,,22.9,,22.7,,24,,22.2,,19.3,,22.6,,21,,18.9,,21.6,,26.4,,26.6,,28,,26.3,,23,,23.4,,27.7,,25.5,,25.8,,24.5,
,AIDS-related/b,6.3,,6.3,,5.5,,5.5,,5.1,,3.8,,4.9,,3.9,,3.3,,2.8,,2.8,,1.5,,2.2,,2,,1.6,,0.9,,1.1,,1.2,,0.8,,0.7,
,Cancer,3.4,,2.7,,4,,3.4,,2.8,,3.5,,3.5,,3.8,,2.6,,4.9,,3.7,,3.6,,4.6,,4.1,,3.6,,3.7,,4.4,,3.7,,3,,3.7,
,Respiratory disease,3.4,,1.9,,2.3,,2.1,,3.4,,1.9,,2.5,,4.4,,3.3,,3.3,,2,,2.3,,2.9,,3,,4,,3,,2.4,,3.1,,3.1,,2.7,
,Liver disease,2.5,,2.8,,2.5,,3,,2.8,,2.8,,2.3,,3.5,,3.3,,3.1,,2.7,,1.4,,2.9,,1.8,,2.6,,1.8,,1.8,,1.5,,0.8,,1.7,
,All other illnesses/c,19.5,,15,,15.4,,13.2,,15.4,,16.6,,19.5,,18.7,,14.8,,15.2,,14.4,,12.6,,14.4,,11.6,,12.9,,14.4,,12.5,,12.3,,12.3,,12.9,
Suicide,,32,%,33.2,%,32.4,%,29.6,%,29.3,%,27.4,%,25.4,%,25.8,%,23.8,%,31.6,%,33.2,%,35,%,31.4,%,33.2,%,34.9,%,33.7,%,31,%,28.7,%,29.8,%,29.6,%
Drug/alcohol intoxication,,4.1,%,6.2,%,5.6,%,8.8,%,7.4,%,7.9,%,8,%,7.2,%,4.7,%,6.8,%,5.9,%,8.2,%,5.9,%,7.3,%,9,%,8.4,%,10.4,%,13.7,%,15.8,%,15.3,%
