Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: mlj0019stt01.csv,,,,,,,,,,,,,,,,,,,,,
"Table 1. Number of deaths of local jail inmates, by cause of death, 2000–2019",,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000–2019 – Statistical Tables   NCJ 301368",,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2019",,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/1/2021,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 1. Number of deaths of local jail inmates, by cause of death, 2000–2019",,,,,,,,,,,,,,,,,,,,,
Cause of death,,2000,2001,2002,2003,2004,2005,2006,2007,2008/a,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,All causes,903,942,969,"1,001","1,021","1,045","1,094","1,099",959,961,918,888,960,987,"1,053","1,096","1,076","1,103","1,138","1,200"
Illness,,516,485,507,512,529,501,604,608,444,490,477,425,528,482,502,518,537,522,521,553
,Heart disease,198,216,220,240,227,202,247,231,181,208,242,236,269,260,242,256,298,281,294,294
,AIDS-related/b,57,59,53,55,52,40,54,43,32,27,26,13,21,20,17,10,12,13,9,8
,Cancer,31,25,39,34,29,37,38,42,25,47,34,32,44,40,38,41,47,41,34,44
,Respiratory disease,31,18,22,21,35,20,27,48,32,32,18,20,28,30,42,33,26,34,35,32
,Liver disease,23,26,24,30,29,29,25,38,32,30,25,12,28,18,27,20,19,17,9,20
,All other illnesses/c,176,141,149,132,157,173,213,206,142,146,132,112,138,114,136,158,135,136,140,155
Suicide,,289,313,314,296,299,286,278,283,228,304,305,311,301,328,368,369,334,317,339,355
Drug/alcohol intoxication,,37,58,54,88,76,83,87,79,45,65,54,73,57,72,95,92,112,151,180,184
Accident,,24,36,34,28,33,24,33,18,15,26,23,27,18,31,25,26,19,22,29,24
Homicide/d,,17,19,18,15,25,22,36,20,16,23,20,21,22,28,25,30,31,29,27,25
Other/unknown,,17,24,35,52,50,110,52,71,8,25,13,21,25,19,24,34,25,26,30,25
Missing,,3,7,7,10,9,19,4,20,203,28,26,10,9,27,14,27,18,36,12,34
Note: Data may have been revised from previously published statistics. See Methodology.,,,,,,,,,,,,,,,,,,,,,
"a/In 2008, a high number of illness cases were missing cause of death information and were classified as missing.",,,,,,,,,,,,,,,,,,,,,
b/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,,,,,,,,,,,,,,,,,,,
"c/Includes other specified illnesses (such as cerebrovascular disease, influenza, and other nonleading natural causes of death) and unspecified illnesses.",,,,,,,,,,,,,,,,,,,,,
"d/Includes homicides committed by other inmates, incidental to the use of force by staff, and resulting from assaults sustained prior to incarceration.",,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2019.",,,,,,,,,,,,,,,,,,,,,
